月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園市,82,61,92,83,93,87,105,111,119,105,101,97
中壢市,89,58,93,80,97,76,100,98,88,100,79,89
平鎮市,53,32,47,37,53,59,58,44,54,32,57,49
八德市,40,35,39,39,45,33,56,37,45,55,35,53
楊梅市,34,28,35,39,52,40,45,39,27,48,30,34
大溪鎮,22,14,15,21,26,20,26,16,29,28,19,22
蘆竹鄉,30,26,42,37,31,39,34,42,32,45,36,28
大園鄉,15,6,27,22,21,16,22,16,20,25,16,16
龜山鄉,36,22,33,38,51,33,33,34,32,37,21,35
龍潭鄉,26,17,18,24,23,29,27,23,29,35,25,28
新屋鄉,12,4,10,4,13,8,12,10,7,11,10,8
觀音鄉,11,15,11,11,13,13,10,14,26,13,12,14
復興鄉,3,2,3,4,4,4,4,2,3,4,2,5
